"Net generation for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=fffh&geo=10fvvvvvvvvvo&sec=g&linechart=&columnchart=ELEC.GEN.COW-CT-99.A&map=ELEC.GEN.COW-CT-99.A&freq=A&start=2001&end=2020&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Tue Mar 23 2021 19:22:06 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Minnesota : wind","thousand megawatthours","ELEC.GEN.WND-MN-99.A",897,906,978,812,1582,2055,2639,4355,5053,4792,6726,8176,8259,9691,9779,9933,11137,10714,10965,12240
"Minnesota : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MN-99.A","--","--","--","--","--","--","--","--","--","--","--",0,3,3,3,10,596,1042,1249,1758
"Minnesota : geothermal","thousand megawatthours","ELEC.GEN.GEO-MN-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Minnesota : biomass",,"ELEC.GEN.BIO-MN-99.A",,,,,,,,,,,,,,,,,,,,
"Minnesota : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-MN-99.A",575,377,657,652,656,590,727,725,796,933,748,839,1036,1149,1177,1218,1296,1113,837,832
"Minnesota : other biomass","thousand megawatthours","ELEC.GEN.WAS-MN-99.A",505,503,486,332,413,414,566,771,887,915,932,999,574,614,629,674,637,531,351,350
"Minnesota : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-MN-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Minnesota : all solar",,"ELEC.GEN.TSN-MN-99.A",,,,,,,,,,,,,,,,,,,,
"Minnesota : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MN-99.A","--","--","--","--","--","--","--","--","--","--","--",0,3,3,3,10,596,1042,1249,1758
"Missouri",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Missouri : all fuels (utility-scale)",,"ELEC.GEN.ALL-MO-99.A",,,,,,,,,,,,,,,,,,,,
"Missouri : coal","thousand megawatthours","ELEC.GEN.COW-MO-99.A",65749,67435,74212,75024,77437,77450,75084,73532,71611,75047,78316,72775,76105,72409,65326,60322,67519,63355,55686,51754
"Missouri : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-MO-99.A",126,97,107,66,103,61,61,56,57,118,80,78,65,107,99,78,61,100,97,89
"Missouri : petroleum coke","thousand megawatthours","ELEC.GEN.PC-MO-99.A",512,433,50,130,66,0,-0,1,30,8,0,0,0,0,"--","--","--","--","--","--"
"Missouri : natural gas","thousand megawatthours","ELEC.GEN.NG-MO-99.A",3874,3544,2624,2865,3866,3729,4979,5196,3416,4690,4548,6167,4400,4044,4596,6032,5205,7050,7675,7974
"Missouri : nuclear","thousand megawatthours","ELEC.GEN.NUC-MO-99.A",8384,8390,9700,7831,8031,10117,9372,9379,10247,8996,9371,10718,8367,9276,10440,9430,8304,10655,9190,7742
"Missouri : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-MO-99.A",1104,1357,652,1480,1159,199,1204,2047,1817,1539,1185,714,1136,697,1595,1268,1182,828,2216,2248
"Missouri : other renewables","thousand megawatthours","ELEC.GEN.AOR-MO-99.A",9,9,8,10,9,24,29,246,575,988,1240,1299,1241,1255,1179,1293,2233,3059,3078,3645
"Missouri : wind","thousand megawatthours","ELEC.GEN.WND-MO-99.A","--","--","--","--","--","--","--",203,499,925,1178,1245,1167,1131,1033,1122,2032,2835,2858,3425
"Missouri : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MO-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",9,17,33,56,91,100,107
"Missouri : geothermal","thousand megawatthours","ELEC.GEN.GEO-MO-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Missouri : biomass",,"ELEC.GEN.BIO-MO-99.A",,,,,,,,,,,,,,,,,,,,
"Missouri : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-MO-99.A","--",0,0,0,0,0,0,2,2,0,0,0,8,32,29,47,56,51,44,42
"Missouri : other biomass","thousand megawatthours","ELEC.GEN.WAS-MO-99.A",9,9,8,9,9,24,29,41,73,62,62,54,66,83,100,91,88,82,76,71
"Missouri : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-MO-99.A",-266,-159,-254,115,86,48,383,545,567,888,114,33,296,19,348,179,100,47,337,-22
"Missouri : all solar",,"ELEC.GEN.TSN-MO-99.A",,,,,,,,,,,,,,,,,,,,
"Missouri : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MO-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",9,17,33,56,91,100,107
"Nebraska",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Nebraska : all fuels (utility-scale)",,"ELEC.GEN.ALL-NE-99.A",,,,,,,,,,,,,,,,,,,,
"Nebraska : coal","thousand megawatthours","ELEC.GEN.COW-NE-99.A",20239,19944,20954,20457,20818,20683,19630,21480,23350,23363,25965,25019,26767,24922,24185,21898,21174,23305,20385,18860
"Nebraska : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-NE-99.A",28,21,49,22,31,19,36,35,23,31,37,23,43,43,6,-18,6,12,16,13
"Nebraska : petroleum coke","thousand megawatthours","ELEC.GEN.PC-NE-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Nebraska : natural gas","thousand megawatthours","ELEC.GEN.NG-NE-99.A",349,413,381,297,803,759,1110,758,312,375,426,770,437,406,431,538,629,965,1277,1452
"Nebraska : nuclear","thousand megawatthours","ELEC.GEN.NUC-NE-99.A",8726,10122,7997,10241,8802,9003,11042,9479,9435,11054,6933,5802,6865,10102,10325,9351,6913,5632,6952,6189
"Nebraska : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-NE-99.A",1124,1097,980,913,871,893,347,346,434,1314,1617,1257,1124,1158,1685,856,1489,1382,1340,1488
"Nebraska : other renewables","thousand megawatthours","ELEC.GEN.AOR-NE-99.A",19,21,95,78,139,313,278,275,449,493,1116,1347,1869,2801,3251,3900,5197,5670,7327,8857
"Nebraska : wind","thousand megawatthours","ELEC.GEN.WND-NE-99.A",3,8,38,38,97,261,217,214,383,422,1051,1284,1802,2737,3180,3798,5084,5549,7211,8710
"Nebraska : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NE-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",4,15,27,32,61
"Nebraska : geothermal","thousand megawatthours","ELEC.GEN.GEO-NE-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Nebraska : biomass",,"ELEC.GEN.BIO-NE-99.A",,,,,,,,,,,,,,,,,,,,
"Nebraska : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-NE-99.A","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,0,0,0
"Nebraska : other biomass","thousand megawatthours","ELEC.GEN.WAS-NE-99.A",17,13,56,40,43,52,61,61,66,72,65,63,67,64,71,98,97,93,85,86
"Nebraska : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-NE-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Nebraska : all solar",,"ELEC.GEN.TSN-NE-99.A",,,,,,,,,,,,,,,,,,,,
"Nebraska : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NE-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",4,15,27,32,61
"North Dakota",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"North Dakota : all fuels (utility-scale)",,"ELEC.GEN.ALL-ND-99.A",,,,,,,,,,,,,,,,,,,,
"North Dakota : coal","thousand megawatthours","ELEC.GEN.COW-ND-99.A",28877,29612,29427,28064,30259,28879,29164,29672,29607,28462,27109,28214,27478,27394,27734,26580,26756,27541,25151,24523
"North Dakota : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-ND-99.A",48,39,52,38,34,42,51,49,45,38,42,33,33,26,26,30,36,38,34,31
"North Dakota : petroleum coke","thousand megawatthours","ELEC.GEN.PC-ND-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"North Dakota : natural gas","thousand megawatthours","ELEC.GEN.NG-ND-99.A",3,8,9,9,8,7,17,-0,17,16,20,22,54,234,711,1071,676,1019,1471,1505
"North Dakota : nuclear","thousand megawatthours","ELEC.GEN.NUC-ND-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"North Dakota : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-ND-99.A",1332,1593,1724,1546,1342,1521,1305,1253,1475,2042,2580,2477,1852,2531,2094,1912,2582,3180,3179,3454
"North Dakota : other renewables","thousand megawatthours","ELEC.GEN.AOR-ND-99.A",8,0,59,220,230,373,634,1706,3009,4108,5245,5280,5524,6205,6509,8178,11361,10734,11213,13185
"North Dakota : wind","thousand megawatthours","ELEC.GEN.WND-ND-99.A","--","--",59,215,220,369,621,1693,2998,4096,5236,5275,5519,6202,6506,8172,11359,10733,11213,13183
"North Dakota : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-ND-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"North Dakota : geothermal","thousand megawatthours","ELEC.GEN.GEO-ND-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"North Dakota : biomass",,"ELEC.GEN.BIO-ND-99.A",,,,,,,,,,,,,,,,,,,,
"North Dakota : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-ND-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"North Dakota : other biomass","thousand megawatthours","ELEC.GEN.WAS-ND-99.A",8,0,1,6,10,4,14,13,12,12,10,6,5,3,4,6,2,1,0,2
"North Dakota : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-ND-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"North Dakota : all solar",,"ELEC.GEN.TSN-ND-99.A",,,,,,,,,,,,,,,,,,,,
"North Dakota : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-ND-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"South Dakota",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"South Dakota : all fuels (utility-scale)",,"ELEC.GEN.ALL-SD-99.A",,,,,,,,,,,,,,,,,,,,
"South Dakota : coal","thousand megawatthours","ELEC.GEN.COW-SD-99.A",3612,3272,3431,3620,2996,3316,2655,3660,3217,3298,2586,2919,2849,2689,1495,2083,2062,2339,2617,1648
"South Dakota : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-SD-99.A",52,5,16,23,21,5,63,23,8,6,8,6,7,7,17,3,3,6,14,10
"South Dakota : petroleum coke","thousand megawatthours","ELEC.GEN.PC-SD-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"South Dakota : natural gas","thousand megawatthours","ELEC.GEN.NG-SD-99.A",305,86,176,112,271,266,351,229,80,135,129,214,502,465,773,919,654,1168,1170,1171
"South Dakota : nuclear","thousand megawatthours","ELEC.GEN.NUC-SD-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"South Dakota : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-SD-99.A",3432,4354,4276,3598,3075,3397,2917,2993,4432,5239,6608,5981,4063,5498,4850,4806,5256,6266,7915,8603
"South Dakota : other renewables","thousand megawatthours","ELEC.GEN.AOR-SD-99.A",1,6,44,158,158,149,150,147,427,1372,2668,2354,2688,2336,2498,3715,2960,2837,2791,5606
"South Dakota : wind","thousand megawatthours","ELEC.GEN.WND-SD-99.A",1,6,44,158,158,149,150,145,421,1372,2668,2354,2688,2336,2498,3714,2958,2835,2789,5604
"South Dakota : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-SD-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,2,2,2,2
"South Dakota : geothermal","thousand megawatthours","ELEC.GEN.GEO-SD-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"South Dakota : biomass",,"ELEC.GEN.BIO-SD-99.A",,,,,,,,,,,,,,,,,,,,
"South Dakota : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-SD-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0
"South Dakota : other biomass","thousand megawatthours","ELEC.GEN.WAS-SD-99.A","--","--","--","--","--","--","--",2,6,0,0,0,0,0,0,0,0,0,0,0
"South Dakota : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-SD-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"South Dakota : all solar",,"ELEC.GEN.TSN-SD-99.A",,,,,,,,,,,,,,,,,,,,
"South Dakota : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-SD-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,2,2,2,2
"South Atlantic",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Delaware",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Delaware : all fuels (utility-scale)",,"ELEC.GEN.ALL-DE-99.A",,,,,,,,,,,,,,,,,,,,
"Delaware : coal","thousand megawatthours","ELEC.GEN.COW-DE-99.A",3369,3464,4026,4744,4833,4969,5622,5267,2848,2568,1455,1423,1545,865,599,479,359,273,119,102
"Delaware : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-DE-99.A",1682,898,1649,1104,1220,132,241,219,258,56,38,22,23,183,154,63,25,201,19,14
"Delaware : petroleum coke","thousand megawatthours","ELEC.GEN.PC-DE-99.A",24,52,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Delaware : natural gas","thousand megawatthours","ELEC.GEN.NG-DE-99.A",1575,1443,1464,1718,1591,1171,1902,1387,1376,2865,4731,6815,5931,6297,6689,7787,6723,5400,4806,4632
"Delaware : nuclear","thousand megawatthours","ELEC.GEN.NUC-DE-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Delaware : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-DE-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Delaware : other renewables","thousand megawatthours","ELEC.GEN.AOR-DE-99.A","--","--","--","--","--",0,48,163,126,138,158,131,107,131,130,124,118,114,120,125
"Delaware : wind","thousand megawatthours","ELEC.GEN.WND-DE-99.A","--","--","--","--","--","--","--","--","--",3,5,4,4,5,5,5,5,5,5,5
"Delaware : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-DE-99.A","--","--","--","--","--","--","--","--","--","--",8,23,45,50,49,51,50,50,54,60
"Delaware : geothermal","thousand megawatthours","ELEC.GEN.GEO-DE-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Delaware : biomass",,"ELEC.GEN.BIO-DE-99.A",,,,,,,,,,,,,,,,,,,,
"Delaware : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-DE-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Delaware : other biomass","thousand megawatthours","ELEC.GEN.WAS-DE-99.A","--","--","--","--","--",0,48,163,126,136,145,105,57,76,76,68,63,59,61,60
"Delaware : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-DE-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Delaware : all solar",,"ELEC.GEN.TSN-DE-99.A",,,,,,,,,,,,,,,,,,,,
"Delaware : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-DE-99.A","--","--","--","--","--","--","--","--","--","--",8,23,45,50,49,51,50,50,54,60
"District Of Columbia",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"District Of Columbia : all fuels (utility-scale)",,"ELEC.GEN.ALL-DC-99.A",,,,,,,,,,,,,,,,,,,,
"District Of Columbia : coal","thousand megawatthours","ELEC.GEN.COW-DC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"District Of Columbia : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-DC-99.A",123,262,74,36,226,81,75,72,35,200,130,9,0,0,0,1,0,0,0,0
"District Of Columbia : petroleum coke","thousand megawatthours","ELEC.GEN.PC-DC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"District Of Columbia : natural gas","thousand megawatthours","ELEC.GEN.NG-DC-99.A","--","--","--","--","--","--","--","--","--","--",71,62,66,68,23,23,20,23,110,135
"District Of Columbia : nuclear","thousand megawatthours","ELEC.GEN.NUC-DC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"District Of Columbia : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-DC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"District Of Columbia : other renewables","thousand megawatthours","ELEC.GEN.AOR-DC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--",31,53,47,57,64,73
"District Of Columbia : wind","thousand megawatthours","ELEC.GEN.WND-DC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"District Of Columbia : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-DC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",9,18
"District Of Columbia : geothermal","thousand megawatthours","ELEC.GEN.GEO-DC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"District Of Columbia : biomass",,"ELEC.GEN.BIO-DC-99.A",,,,,,,,,,,,,,,,,,,,
"District Of Columbia : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-DC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"District Of Columbia : other biomass","thousand megawatthours","ELEC.GEN.WAS-DC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--",31,53,47,57,55,55
"District Of Columbia : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-DC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"District Of Columbia : all solar",,"ELEC.GEN.TSN-DC-99.A",,,,,,,,,,,,,,,,,,,,
"District Of Columbia : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-DC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",9,18
"Florida",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Florida : all fuels (utility-scale)",,"ELEC.GEN.ALL-FL-99.A",,,,,,,,,,,,,,,,,,,,
"Florida : coal","thousand megawatthours","ELEC.GEN.COW-FL-99.A",68228,65926,67675,64862,62515,65423,67908,64823,54003,59897,51991,44286,46343,52054,42904,39429,37513,30272,21248,16668
"Florida : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-FL-99.A",37676,28875,31267,30672,29158,15875,15633,8676,6314,5922,1383,720,498,527,582,772,512,572,324,228
"Florida : petroleum coke","thousand megawatthours","ELEC.GEN.PC-FL-99.A",2904,4807,5938,6583,8043,7029,4570,3295,2907,3200,1898,646,2063,1351,1568,2048,951,1506,1201,1471
"Florida : natural gas","thousand megawatthours","ELEC.GEN.NG-FL-99.A",43570,63164,68293,76577,83595,96186,100307,103363,118322,128634,136364,149700,138966,140034,155824,158495,161105,171872,182007,188019
"Florida : nuclear","thousand megawatthours","ELEC.GEN.NUC-FL-99.A",31583,33704,30979,31216,28759,31426,29289,32133,29118,23936,22015,17870,26526,27868,28122,29320,29146,29312,29108,29419
"Florida : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-FL-99.A",148,184,263,265,266,203,154,206,208,177,182,151,254,211,244,175,218,233,210,207
"Florida : other renewables","thousand megawatthours","ELEC.GEN.AOR-FL-99.A",3790,3740,4474,4502,4327,4331,4303,4303,4340,4487,4670,4524,4659,5073,5143,4867,5886,7497,8351,10735
"Florida : wind","thousand megawatthours","ELEC.GEN.WND-FL-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",1,"--"
"Florida : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-FL-99.A","--","--","--","--","--","--","--","--",9,80,126,194,210,242,224,224,876,2412,3901,6559
"Florida : geothermal","thousand megawatthours","ELEC.GEN.GEO-FL-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Florida : biomass",,"ELEC.GEN.BIO-FL-99.A",,,,,,,,,,,,,,,,,,,,
"Florida : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-FL-99.A",1828,1553,2210,2216,2022,1979,1930,1969,1954,2019,2209,2058,2139,2540,2418,1972,2224,2515,2293,2059
"Florida : other biomass","thousand megawatthours","ELEC.GEN.WAS-FL-99.A",1962,2187,2264,2285,2305,2352,2373,2334,2377,2387,2335,2273,2309,2292,2502,2671,2785,2569,2156,2118
"Florida : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-FL-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Florida : all solar",,"ELEC.GEN.TSN-FL-99.A",,,,,,,,,,,,,,,,,,,,
"Florida : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-FL-99.A","--","--","--","--","--","--","--","--",9,80,126,194,210,242,224,224,876,2412,3901,6559
"Georgia",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Georgia : all fuels (utility-scale)",,"ELEC.GEN.ALL-GA-99.A",,,,,,,,,,,,,,,,,,,,
"Georgia : coal","thousand megawatthours","ELEC.GEN.COW-GA-99.A",74561,78828,78638,79943,87182,86504,90298,85491,69478,73298,60159,40715,40233,45295,37131,37890,32487,32181,25245,13931
"Georgia : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-GA-99.A",761,671,680,402,472,252,232,272,168,155,137,73,68,180,147,114,142,279,107,49
"Georgia : petroleum coke","thousand megawatthours","ELEC.GEN.PC-GA-99.A",410,533,514,544,561,583,556,470,482,485,415,305,207,198,113,97,140,156,140,213
"Georgia : natural gas","thousand megawatthours","ELEC.GEN.NG-GA-99.A",3866,6889,4277,6130,9771,12961,16079,13428,20506,23884,26544,42539,40330,40961,50469,52862,52722,51972,58620,58706
"Georgia : nuclear","thousand megawatthours","ELEC.GEN.NUC-GA-99.A",33682,31108,33257,33748,31534,32006,32545,31691,31683,33512,32306,33942,32903,32570,33838,34481,33709,34363,33591,32826
"Georgia : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-GA-99.A",2596,2716,4140,3692,4032,2569,2236,2145,3260,3322,2705,2236,3714,3064,2984,3373,2410,3697,3956,4123
"Georgia : other renewables","thousand megawatthours","ELEC.GEN.AOR-GA-99.A",3003,6381,3173,3192,3272,3419,3415,2782,2825,3181,3190,3279,3839,4283,4863,5454,7005,6994,7536,9726
"Georgia : wind","thousand megawatthours","ELEC.GEN.WND-GA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-GA-99.A","--","--","--","--","--","--","--","--","--","--","--",3,14,119,129,881,1986,1996,2161,3901
"Georgia : geothermal","thousand megawatthours","ELEC.GEN.GEO-GA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia : biomass",,"ELEC.GEN.BIO-GA-99.A",,,,,,,,,,,,,,,,,,,,
"Georgia : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-GA-99.A",2974,6219,3039,3108,3195,3362,3362,2660,2746,3054,3070,3107,3409,3750,4393,4303,4666,4658,5058,5500
"Georgia : other biomass","thousand megawatthours","ELEC.GEN.WAS-GA-99.A",28,162,134,83,77,57,53,122,80,127,119,168,415,413,341,271,353,341,318,325
"Georgia : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-GA-99.A",-570,-648,-636,-878,-209,-400,-322,-157,272,-278,-734,-838,-427,-781,-815,-993,-1248,-489,-599,-376
"Georgia : all solar",,"ELEC.GEN.TSN-GA-99.A",,,,,,,,,,,,,,,,,,,,
"Georgia : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-GA-99.A","--","--","--","--","--","--","--","--","--","--","--",3,14,119,129,881,1986,1996,2161,3901
"Maryland",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Maryland : all fuels (utility-scale)",,"ELEC.GEN.ALL-MD-99.A",,,,,,,,,,,,,,,,,,,,
"Maryland : coal","thousand megawatthours","ELEC.GEN.COW-MD-99.A",28379,28712,29939,29195,29303,29408,29699,27218,24162,23668,21059,16185,15538,17603,13926,13826,8514,10067,5722,3360
"Maryland : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-MD-99.A",3022,2282,3572,3297,3806,581,985,406,330,322,229,137,190,463,232,161,102,260,67,71
"Maryland : petroleum coke","thousand megawatthours","ELEC.GEN.PC-MD-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Maryland : natural gas","thousand megawatthours","ELEC.GEN.NG-MD-99.A",1761,2214,1196,1183,1887,1770,2241,1848,1768,2897,2311,4945,2888,2506,4555,5423,6729,13850,14605,14035
"Maryland : nuclear","thousand megawatthours","ELEC.GEN.NUC-MD-99.A",13656,12128,13691,14580,14703,13830,14353,14679,14550,13994,14397,13579,14264,14343,14643,14760,15107,14988,15013,15081
"Maryland : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-MD-99.A",1184,1661,2647,2508,1704,2104,1652,1974,1889,1667,2547,1657,1727,1616,1623,1392,1965,2831,2188,1701
"Maryland : other renewables","thousand megawatthours","ELEC.GEN.AOR-MD-99.A",373,522,596,589,623,626,603,612,551,574,822,898,941,989,1068,1281,1365,1488,1405,1490
"Maryland : wind","thousand megawatthours","ELEC.GEN.WND-MD-99.A","--","--","--","--","--","--","--","--","--",1,271,322,322,324,435,527,561,570,520,546
"Maryland : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MD-99.A","--","--","--","--","--","--","--","--","--",0,3,22,63,98,119,209,267,397,494,604
"Maryland : geothermal","thousand megawatthours","ELEC.GEN.GEO-MD-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Maryland : biomass",,"ELEC.GEN.BIO-MD-99.A",,,,,,,,,,,,,,,,,,,,
"Maryland : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-MD-99.A",12,183,225,192,206,218,203,198,175,165,168,159,143,150,111,124,120,104,60,10
"Maryland : other biomass","thousand megawatthours","ELEC.GEN.WAS-MD-99.A",361,339,371,397,417,408,400,415,376,407,380,395,413,417,403,422,416,417,330,330
"Maryland : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-MD-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Maryland : all solar",,"ELEC.GEN.TSN-MD-99.A",,,,,,,,,,,,,,,,,,,,
