"Net generation for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=fffh&geo=10fvvvvvvvvvo&sec=g&linechart=&columnchart=ELEC.GEN.COW-CT-99.A&map=ELEC.GEN.COW-CT-99.A&freq=A&start=2001&end=2020&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Tue Mar 23 2021 19:22:06 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Massachusetts : other biomass","thousand megawatthours","ELEC.GEN.WAS-MA-99.A",1183,1165,1134,1116,1138,1154,1121,1129,1108,1125,1039,1056,1061,1073,1047,1075,1030,1062,912,924
"Massachusetts : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-MA-99.A",-711,-843,-511,-498,-462,-579,-831,-798,-534,-337,-440,-308,-368,-458,-474,-500,-443,-464,-436,-403
"Massachusetts : all solar",,"ELEC.GEN.TSN-MA-99.A",,,,,,,,,,,,,,,,,,,,
"Massachusetts : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MA-99.A","--","--","--","--","--","--","--",0,0,1,5,30,106,306,451,609,788,978,1164,1565
"New Hampshire",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"New Hampshire : all fuels (utility-scale)",,"ELEC.GEN.ALL-NH-99.A",,,,,,,,,,,,,,,,,,,,
"New Hampshire : coal","thousand megawatthours","ELEC.GEN.COW-NH-99.A",3706,3722,3923,4076,4073,3885,3927,3451,2886,3083,2208,1268,1464,1311,937,422,287,660,343,128
"New Hampshire : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-NH-99.A",482,650,2045,1960,1357,439,385,136,183,72,78,22,105,287,176,39,105,178,30,40
"New Hampshire : petroleum coke","thousand megawatthours","ELEC.GEN.PC-NH-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"New Hampshire : natural gas","thousand megawatthours","ELEC.GEN.NG-NH-99.A",119,220,4165,5400,6785,6007,5754,7073,5342,5365,6658,7050,4100,4388,6052,4744,3580,2992,3583,3638
"New Hampshire : nuclear","thousand megawatthours","ELEC.GEN.NUC-NH-99.A",8693,9295,9276,10178,9456,9398,10764,9350,8817,10910,8363,8189,10927,10168,9484,10761,9991,10062,10907,9865
"New Hampshire : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-NH-99.A",991,1141,1331,1316,1799,1529,1265,1633,1680,1478,1605,1247,1427,1381,1270,1145,1413,1355,1462,1495
"New Hampshire : other renewables","thousand megawatthours","ELEC.GEN.AOR-NH-99.A",1026,865,796,883,942,746,1123,1175,1198,1232,1091,1381,1695,1952,2048,2122,2022,1793,1647,1487
"New Hampshire : wind","thousand megawatthours","ELEC.GEN.WND-NH-99.A","--","--","--","--","--","--","--",10,62,76,66,209,389,412,423,432,412,407,433,525
"New Hampshire : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NH-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"New Hampshire : geothermal","thousand megawatthours","ELEC.GEN.GEO-NH-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"New Hampshire : biomass",,"ELEC.GEN.BIO-NH-99.A",,,,,,,,,,,,,,,,,,,,
"New Hampshire : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-NH-99.A",859,700,637,728,786,590,970,1010,984,1030,917,1035,1169,1415,1506,1564,1472,1248,1081,823
"New Hampshire : other biomass","thousand megawatthours","ELEC.GEN.WAS-NH-99.A",167,165,159,155,156,156,153,155,151,127,108,137,137,125,119,125,138,138,133,140
"New Hampshire : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-NH-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"New Hampshire : all solar",,"ELEC.GEN.TSN-NH-99.A",,,,,,,,,,,,,,,,,,,,
"New Hampshire : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NH-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rhode Island",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Rhode Island : all fuels (utility-scale)",,"ELEC.GEN.ALL-RI-99.A",,,,,,,,,,,,,,,,,,,,
"Rhode Island : coal","thousand megawatthours","ELEC.GEN.COW-RI-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,0,0
"Rhode Island : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-RI-99.A",70,58,58,49,57,33,34,26,17,12,14,18,51,88,114,26,58,76,11,7
"Rhode Island : petroleum coke","thousand megawatthours","ELEC.GEN.PC-RI-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rhode Island : natural gas","thousand megawatthours","ELEC.GEN.NG-RI-99.A",7325,6310,5455,4784,5989,5780,6857,7198,7530,7583,8571,8185,6139,5963,6586,6291,7188,7897,7141,7361
"Rhode Island : nuclear","thousand megawatthours","ELEC.GEN.NUC-RI-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rhode Island : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-RI-99.A",3,4,6,5,7,6,4,5,5,4,7,4,4,4,3,2,2,4,4,4
"Rhode Island : other renewables","thousand megawatthours","ELEC.GEN.AOR-RI-99.A",104,98,102,102,0,149,155,158,145,140,130,102,53,226,236,246,366,399,469,644
"Rhode Island : wind","thousand megawatthours","ELEC.GEN.WND-RI-99.A","--","--","--","--","--","--","--","--","--",3,3,1,3,10,10,27,149,159,206,231
"Rhode Island : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-RI-99.A","--","--","--","--","--","--","--","--","--","--","--","--",2,10,14,15,14,29,55,206
"Rhode Island : geothermal","thousand megawatthours","ELEC.GEN.GEO-RI-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rhode Island : biomass",,"ELEC.GEN.BIO-RI-99.A",,,,,,,,,,,,,,,,,,,,
"Rhode Island : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-RI-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rhode Island : other biomass","thousand megawatthours","ELEC.GEN.WAS-RI-99.A",104,98,102,102,0,149,155,158,145,137,127,101,48,207,211,205,203,211,208,208
"Rhode Island : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-RI-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rhode Island : all solar",,"ELEC.GEN.TSN-RI-99.A",,,,,,,,,,,,,,,,,,,,
"Rhode Island : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-RI-99.A","--","--","--","--","--","--","--","--","--","--","--","--",2,10,14,15,14,29,55,206
"Vermont",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Vermont : all fuels (utility-scale)",,"ELEC.GEN.ALL-VT-99.A",,,,,,,,,,,,,,,,,,,,
"Vermont : coal","thousand megawatthours","ELEC.GEN.COW-VT-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vermont : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-VT-99.A",32,9,23,18,10,7,8,4,2,5,8,3,5,5,3,4,7,3,1,1
"Vermont : petroleum coke","thousand megawatthours","ELEC.GEN.PC-VT-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vermont : natural gas","thousand megawatthours","ELEC.GEN.NG-VT-99.A",11,3,2,3,2,2,2,3,4,4,3,3,3,2,1,2,2,2,2,2
